Movie ID,Movie Title,Release Year,Runtime,Budget,Box Office,Chapter ID,Chapter Name,Movie Chapter,Dialogue ID,Place ID,Character ID,Dialogue,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Place Name,Place Category,Budget_Numeric,BoxOffice_Numeric,BoxOffice_to_Budget,Release Year Extracted,Profit_Margin
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,1,8,4,I should have known that you would be here...Professor McGonagall.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,2,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?",Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,3,8,4,"I'm afraid so, Professor. The good, and the bad.",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,4,8,7,And the boy?,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,5,8,4,Hagrid is bringing him.,Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,6,8,7,Do you think it wise to trust Hagrid with something as important as this?,Minerva McGonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,7,8,4,"Ah, Professor, I would trust Hagrid with my life.",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,8,8,5,"Professor Dumbledore, Sir. Professor McGonagall.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,9,8,4,"No problems, I trust, Hagrid?",Albus Dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
1,Harry Potter and the Philosopher's Stone,,152,125000000.0,1002000000.0,1,Doorstep Delivery,1,10,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.",Rubeus Hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4 Privet Drive,Dwellings,125000000.0,1002000000.0,8.016,,701.6
